unique.id,country,location,site,observer,SamplingDate,year,month,day,lat,long,X,Y,depth_m,temp_C,management,habitat,no_quadrats,perc_hardcoral,perc_softcoral,perc_macroalgae,no_genera,no_colonies,no_bleached.cols,perc_bleached,simp.diversity,site.suscept2016,reefbase,bleach_intensity,DHWCummSUM1,average.dhw.90days,max.dhw.90days,dip.Statistic.sst,bimodality.coefficient,bimodality.ratio,n.h.spell.events_90Days,avg.high.spell.duration.90days,max.high.spell.duration.90days,avg.high.spell.rise.90days,avg.spell.peak,sd.spell.peak,avg.low.spell.duration.90dys,max.low.spell.duration.90dys,dhd_mmmplus1,CA1,Acropora.bi,Porites.massive.bi,Montipora.bi,Porites.branching.bi,Pocillopora.bi,Favites.bi,Galaxea.bi,Fungia.bi,Goniastrea.bi,Favia.bi,Pavona.bi,Echinopora.bi,Synarea.bi,Platygyra.bi,Seriatopora.bi,Diploastrea.bi,Millepora.bi,Isopora.bi,Heliopora.bi,Cyphastrea.bi,Hydnophora.bi,Montastrea.bi,Stylophora.bi,Astreopora.bi,Lobophyllia.bi,Leptastrea.bi,Coscinaraea.bi,Goniopora.bi,Leptoseris.bi,Pachyseris.bi,region,grp6.check,year2,DHWDate,date.difference
11,Solomon Islands,Kolombangara,KOL12,Emily,3/18/16,2016,3,18,-7.91001,157.17221,157.17221,-7.91001,8.3,27,open,slope,20,31,2.5,13.25,27,255,114,44.71,0.84,25.82469067,2,10.36414566,0,0,0,0.026098901,0.442837837,0,4,3.75,12,0.262857139,30.13038394,0.432272874,2.75,8,0,-0.680915754,17.14285714,7.875457875,8.311688312,1.785714286,18.36734694,28.57142857,3.571428571,42.85714286,28.57142857,0,2.857142857,0,0,0,52.38095238,0,0,0,0,28.57142857,14.28571429,14.28571429,0,0,0,27.14285714,0,0,14.28571429,8.571428571,Melanesia,5,0,NA,NA
12,Solomon Islands,Kolombangara,KOL13,Emily,3/21/16,2016,3,21,-7.94788,157.18622,157.18622,-7.94788,8.3,27,open,slope,20,17.5,1,2,27,269,127,47.21,0.6,23.05202915,2,11.78969729,0,0,0,0.026098901,0.440662727,0,4,3,9,0.262857139,30.12999933,0.432305438,2.75,8,0,-1.346627814,18.36734694,10.35072712,4.761904762,1.19047619,71.42857143,0,42.85714286,85.71428571,19.64285714,48.57142857,7.142857143,28.57142857,0,28.57142857,0,1.19047619,0,0,0,0,0,0,0,71.42857143,0,71.42857143,10.71428571,0,0,14.28571429,Melanesia,6,0,NA,NA
13,Solomon Islands,Kolombangara,KOL15,Yashika,3/22/16,2016,3,22,-8.01851,157.18784,157.18784,-8.01851,8,30,open,lagoon,21,23.33333333,1.19047619,2.142857143,27,448,120,26.79,0.65,23.94983167,1,5.197704082,0.599285701,0.006585557,0.063571427,0.037389441,0.458580676,0,2,8,9,0.161999997,30.13818115,0.38685097,3.333333333,8,0,-1.113293708,9.523809524,1.667593107,10.57142857,0,19.04761905,14.28571429,5.714285714,10.71428571,14.28571429,19.04761905,4.511278195,0,0,0,0,0,0,0,0,0,14.28571429,42.85714286,0,0,0,14.28571429,0,0,0,0,Melanesia,6,0.063571427,3/22/16,0
14,Solomon Islands,Kolombangara,KOL16,Yashika,3/22/16,2016,3,22,-8.04992,157.19556,157.19556,-8.04992,8,30,open,lagoon,20,31.75,4.75,2.25,15,452,65,14.38,0.51,24.17617613,1,2.370417193,0.761666649,0.008369963,0.083333331,0.037389441,0.458580676,0,2,8,9,0.161999997,30.13818115,0.38685097,3.333333333,8,0,-1.30014891,23.80952381,1.178689298,2.721088435,0,0,9.523809524,3.174603175,9.523809524,5.194805195,0,0,0,0,14.28571429,0,0,0,0,0,0,0,0,0,14.28571429,0,11.68831169,0,0,0,0,Melanesia,6,0.083333331,3/22/16,0
15,Solomon Islands,Kolombangara,KOL18,Emily,3/23/16,2016,3,23,-8.11311,157.17444,157.17444,-8.11311,10,26,open,lagoon,22,34.95454545,5,9.545454545,27,400,60,15,0.83,26.4535781,1,4.714285714,1.349999973,0.014835165,0.149999997,0.033195972,0.461012513,0,3,5.666666667,9,0.184999997,30.08879933,0.458405923,3.333333333,8,0,-0.433061476,4.166666667,0.404312668,3.042328042,0,15.87301587,71.42857143,60.71428571,26.78571429,6.25,0,0,1.785714286,0,0,28.57142857,9.523809524,0,0,0,0,14.28571429,0,8.163265306,4.761904762,0,1.020408163,0,0,4.761904762,14.28571429,Melanesia,5,0.149999997,3/23/16,0
16,Solomon Islands,Kolombangara,KOL19,Emily,3/23/16,2016,3,23,-8.13276,157.15825,157.15825,-8.13276,10,26,restricted,lagoon,21,9.761904762,2.380952381,1.19047619,20,229,28,12.23,0.79,25.48302146,1,4.179663132,1.349999973,0.014835165,0.149999997,0.033195972,0.461012513,0,3,5.666666667,9,0.184999997,30.08879933,0.458405923,3.333333333,8,0,-0.893801767,2.285714286,0.802568218,7.142857143,0,12.5,0,0,0,8.928571429,35.71428571,0,0,0,0,28.57142857,0,0,0,0,0,0,0,0,0,0,2.857142857,0,0,11.42857143,0,Melanesia,5,0.149999997,3/23/16,0
17,Fiji,Vatu-i-ra,Fiji1,Sangeeta Mangubhai,2003-10-16,2016,3,10,-17.11317,179.06367,179.06367,-17.11317,15,NA,restricted,bank,20,20.25,13.75,0,13,53,0,0,0.84,26.56984,0,0,124.8699972,1.372197771,3.749999916,0.039423078,0.492679185,1.582432709,1,12,12,0.173749996,28.75590845,1.055568698,2.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Melanesia,5,3.749999916,2003-10-16,0
18,Fiji,Vatu-i-ra,Fiji2,Sangeeta Mangubhai,2003-12-16,2016,3,12,-17.1365,178.525,178.525,-17.1365,15,NA,restricted,bank,20,26.75,23.6,0.35,22,141,21,14.89,0.8,23.35263268,2,7.902735562,165.8099963,1.822087871,4.639999896,0.03544138,0.518748677,0.55052687,1,12,12,0.194999995,28.94454481,0.910801443,2.5,4,0,-0.449316784,11.9047619,0,0,0,22.22222222,5.952380952,44.89795918,0,0,42.85714286,3.694581281,0,0,23.80952381,0,0,0,0,0,0,0,0,21.42857143,0,0,0,0,0,0,0,Melanesia,5,4.639999896,2003-12-16,0
19,Fiji,Vatu-i-ra,Fiji3,Sangeeta Mangubhai,2003-12-16,2016,3,12,-17.13433,178.52017,178.52017,-17.13433,12,NA,open,bank,20,45.9,8.5,0,17,120,9,7.5,0.89,25.11767276,1,2.619047619,165.8099963,1.822087871,4.639999896,0.03544138,0.518748677,0.55052687,1,12,12,0.194999995,28.94454481,0.910801443,2.5,4,0,-0.216180489,0,0,1.020408163,0,11.9047619,4.761904762,12.6984127,0,0,0,1.19047619,0,0,71.42857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Melanesia,5,4.639999896,2003-12-16,0
20,Fiji,Vatu-i-ra,Fiji4,Sangeeta Mangubhai,3/14/16,2016,3,14,-17.27817,178.462,178.462,-17.27817,15,NA,open,bank,20,24.8,29.25,0,18,116,2,1.72,0.86,25.67490508,1,0.246305419,174.3399961,1.915824133,4.629999897,0.03097452,0.511093504,0.483137394,1,11,11,0.267499995,28.98909026,0.90001008,2.5,4,1.04913003,-0.728841671,0,0.492610837,0,0,0,0.793650794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Melanesia,5,4.629999897,3/14/16,0
21,Fiji,Vatu-i-ra,Fiji5,Sangeeta Mangubhai,2003-11-16,2016,3,11,-17.01097,179.02518,179.02518,-17.01097,15,NA,restricted,bank,20,12.65,2.1,0,6,54,0,0,0.69,21.98545268,0,0,129.6199971,1.424395573,3.759999916,0.036207383,0.486125874,1.672382403,2,6.5,12,0.182999995,28.93238031,0.978237704,2.5,4,0,-0.640902437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Melanesia,5,3.759999916,2003-11-16,0
22,Fiji,Vatu-i-ra,Fiji6,Sangeeta Mangubhai,3/13/16,2016,3,13,-17.06667,178.595,178.595,-17.06667,15,28,open,bank,20,38.6,1.35,0,26,117,4,3.42,0.89,24.00609724,1,1.098901099,143.4399968,1.576263701,3.879999913,0.034798535,0.507916704,0.519748408,1,17,17,0.153999997,29.02590844,0.868461451,2,4,0,-0.539727567,0,0.595238095,0,0,0,0,0,0,0,0,5.882352941,0,0,14.28571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Melanesia,5,3.879999913,3/13/16,0
23,Fiji,Vatu-i-ra,Fiji7,Sangeeta Mangubhai,2003-12-16,2016,3,12,-17.17,178.229,178.229,-17.17,12,NA,open,bank,20,11.55,19.25,0,22,140,8,5.71,0.89,24.87700316,1,1.12244898,180.739996,1.986153802,4.849999892,0.039508111,0.508934346,0.556079648,2,5.5,9,0.151999996,29.04730704,0.901915974,2,3,0,-0.629695701,0,0.714285714,0,0,0,0,7.142857143,0,0,3.571428571,4.285714286,0,0,0,0,0,0,0,0,0,0,0,0,3.571428571,0,0,0,0,0,0,Melanesia,5,4.849999892,2003-12-16,0
24,Fiji,Vatu-i-ra,Fiji8,Sangeeta Mangubhai,2003-09-16,2016,3,9,-17.57167,178.98833,178.98833,-17.57167,15,27,open,bank,20,34.5,0.05,0,24,261,10,3.83,0.89,26.70886028,1,0.930487137,102.6499977,1.128021953,3.189999929,0.068607068,0.53600479,1.269761534,1,12,12,0.204999995,28.73217327,1.017014129,2.5,5,0,-0.11183591,4.247104247,0,0,0,0,0,7.142857143,0,0,0,0.242130751,0,0,21.42857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Melanesia,5,3.189999929,2003-09-16,0
25,Fiji,Vatu-i-ra,Fiji9,Sangeeta Mangubhai,2003-08-16,2016,3,8,-18.10167,179.26333,179.26333,-18.10167,15,NA,open,channel,20,48.75,0,2.15,20,244,64,26.23,0.76,29.07845044,2,8.079625293,76.72999827,0.843186794,2.529999943,0.046201624,0.566937231,0.006748733,1,10,10,0.188333328,28.44761841,1.152653023,2.2,4,0,0.448158915,9.90990991,9.183673469,14.28571429,0,1.298701299,0,14.28571429,0.751879699,4.761904762,4.761904762,0.793650794,0,0,0,0,0,0,0,0,0,0,52.38095238,22.22222222,0,0,2.040816327,0,0,0,0,Melanesia,2,2.529999943,2003-08-16,0
26,Fiji,Vatu-i-ra,Fiji10,Sangeeta Mangubhai,2003-09-16,2016,3,9,-17.58183,178.98067,178.98067,-17.58183,15,27,open,bank,20,55,0.75,0.05,26,325,9,2.77,0.89,28.72244936,1,0.43956044,102.6499977,1.128021953,3.189999929,0.068607068,0.53600479,1.269761534,1,12,12,0.204999995,28.73217327,1.017014129,2.5,5,0,0.037289419,0.621118012,1.260504202,0,0,1.098901099,0,0,0,0,0,0,1.587301587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Melanesia,5,3.189999929,2003-09-16,0
27,Fiji,Vatu-i-ra,Fiji11,Sangeeta Mangubhai,2003-07-16,2016,3,7,-18.08467,179.263,179.263,-18.08467,15,28,open,channel,20,39.2,3.95,0,15,92,13,14.13,0.78,28.12286488,1,3.416149068,97.32999783,1.069560416,3.189999929,0.048451549,0.571716154,0.006778466,1,11,11,0.161428567,28.45571365,1.138743017,2.2,6,0,0.566944926,0,0,10.20408163,4.511278195,16.66666667,0,28.57142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Melanesia,2,3.189999929,2003-07-16,0
28,Kenya,Kisite,Kisite corner,Nyawira,4/18/16,2016,4,18,-4.715,39.3787,39.3787,-4.715,5,NA,no-take,lagoon,20,49.5,30.5,8.25,23,267,132,49.44,0.86,27.73347922,1,11.02193686,59.96999866,0.659010974,2.779999938,0.069273863,0.6634118,1.13479282,2,7.5,8,0.222222216,28.73079936,0.955627696,5,9,0,1.07375999,15.3638814,0,0,15.01210654,48.57142857,0,0,21.42857143,28.57142857,42.85714286,0,7.373271889,7.482993197,7.142857143,0,0,1.020408163,0,0,0,0,14.28571429,14.28571429,28.57142857,14.28571429,0,0,0,0,0,East Africa,4,2.779999938,4/18/16,0
29,Kenya,Kisite,Kisite corner,Tim,4/18/16,2016,4,18,-4.71559,39.38113,39.38113,-4.71559,6,NA,no-take,lagoon,14,50,26.43,0.36,25,288,96,33.33,0.88,27.78562019,2,9.821428571,59.96999866,0.659010974,2.779999938,0.069273863,0.6634118,1.13479282,2,7.5,8,0.222222216,28.73079936,0.955627696,5,9,0,1.042278204,3.641456583,1.428571429,28.57142857,22.85714286,38.7755102,7.142857143,1.948051948,19.04761905,23.80952381,11.9047619,0,1.930501931,9.350649351,0,0,0,14.28571429,0,0,0,0,0,0,0,14.28571429,0,0,0,0,2.857142857,East Africa,4,2.779999938,4/18/16,0
