"location","site","bleach_intensity","X","Y","management","habitat","average.dhw.90days","max.dhw.90days","dip.Statistic.sst","bimodality.coefficient","bimodality.ratio","n.h.spell.events_90Days","avg.high.spell.duration.90days","max.high.spell.duration.90days","avg.high.spell.rise.90days","avg.spell.peak","sd.spell.peak","avg.low.spell.duration.90dys","dhd_mmmplus1","CA1"
"Kenya fringing","Malindi coral gardens",23.04656669,40.15,-3.26,"no-take","lagoon",0.488021967,3.399999924,0.053308394,0.683599334,0.741911305,2,8,8,0.30714285,28.19624937,1.135715847,3.333333333,0,-0.490067299
"Kenya fringing","Malindi Reef Edge",29.96289425,40.14704,-3.24628,"no-take","lagoon",0.619120865,4.109999908,0.055772679,0.685745635,0.735422046,2,8,8,0.346666658,28.18130372,1.128733393,3.333333333,0,-0.675829686
"Kenya fringing","Malindi coral gardens",25.08854782,40.15,-3.26,"no-take","lagoon",0.488021967,3.399999924,0.053308394,0.683599334,0.741911305,2,8,8,0.30714285,28.19624937,1.135715847,3.333333333,0,-0.029359257
"Kenya fringing","Coral gardens monitoring",14.98542274,40.15,-3.26,"no-take","lagoon",0.267692302,1.949999956,0.043088491,0.65669327,0.592408369,2,7,13,0.262857137,28.15269168,1.040140573,3.333333333,0,-0.346580842
"Kenya fringing","Mushroom",1.823708207,39.7601,-3.984,"no-take","lagoon",0.237582412,2.159999952,0.05459985,0.594890262,0.819644983,2,5,6,0.249999993,28.41545391,0.964743849,3.333333333,0,0.171013141
"Kenya fringing","Mombasa 2",9.845559846,39.74836,-3.99457,"no-take","lagoon",0.328015103,2.638124941,0.05974581,0.607627265,0.818157394,2,6.5,7,0.198749995,28.41299936,0.962459,3.333333333,0,-0.373689872
"Kenya fringing","Mombasa 3",16.37239165,39.74766,-3.99434,"no-take","lagoon",0.328015103,2.638124941,0.05974581,0.607627265,0.818157394,2,6.5,7,0.198749995,28.41299936,0.962459,3.333333333,0,-0.990849432
"Kenya fringing","Mpunguti Bleach West",5.095818815,39.40823,-4.70938,"restricted","lagoon",0.598241745,2.599999942,0.061785153,0.626563007,1.12574277,2,7.5,8,0.219999994,28.85565153,0.885308484,10,0,0.390484802
"Kenya fringing","Mpunguti bleach east",4.817275748,39.41012,-4.70851,"restricted","lagoon",0.598241745,2.599999942,0.061785153,0.626563007,1.12574277,2,7.5,8,0.219999994,28.85565153,0.885308484,10,0,0.018139017
"Kenya fringing","Mradi tengefu",7.864609258,39.7823,-3.9417,"no-take","lagoon",0.14274725,1.189999973,0.049283204,0.590227327,0.010563087,2,8,12,0.203999995,28.36952318,0.930926808,3.333333333,0,0.171129639
